GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academy,com.courses.academy.dto,ResponseDto,17,0,0,0,7,0,5,0,5,0
academy,com.courses.academy,AcademyApplication,5,3,0,0,2,1,1,1,1,1
academy,com.courses.academy.exception,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
academy,com.courses.academy.entity,CourseData,21,3,0,0,9,1,6,1,6,1
academy,com.courses.academy.entity,User,28,3,0,0,12,1,8,1,8,1
academy,com.courses.academy.entity,Enrollment,42,3,0,0,18,1,12,1,12,1
academy,com.courses.academy.entity,Course,35,3,0,0,15,1,10,1,10,1
academy,com.courses.academy.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
academy,com.courses.academy.controller,UserController,0,3,0,0,0,1,0,1,0,1
academy,com.courses.academy.controller,CourseController,0,3,0,0,0,1,0,1,0,1
academy,com.courses.academy.util,UserConstants,3,0,0,0,1,0,1,0,1,0
